Category,Type,Title,Date,Description,Price,Thumbnails
armes airsoft,[Offre],Pistolet cal .32,01/08,"Vend pistolet percussion centrale, calibre .32 de marque WHALTER, type GSP Expert avec mallette de transport, deux crosses (taille L et taille M), deux chargeurs, un récupérateur d étuis et quelques boîtes de cartouches.
Attention : arme soumise à autorisation de détention ; convient à tireur sportif.",200 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjkkjv38ebn1s4m1rgb7q5quqb.png
armes airsoft,[Offre],lunette weaver 3x9x40,01/08,vend une lunette weaver 3x9x40 en bonne état voir photo ci dessous au prix de 25 000 négociable. Répondre via le site,25 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20182/_thumbs/o_1c72ic48j14mvsjsmgequjnagh.jpg,http://www.annonces.nc/photos.annonces.nc/20182/_thumbs/o_1c72ic48j5vrqar1ifq17s512k9i.jpg,http://www.annonces.nc/photos.annonces.nc/20182/_thumbs/o_1c72ic48k181615vnl79ka11n5j.jpg,http://www.annonces.nc/photos.annonces.nc/20182/_thumbs/o_1c72ic48kbdrcgn1cr06h41h5qk.jpg,http://www.annonces.nc/photos.annonces.nc/20182/_thumbs/o_1c72ic48kvgi388ba18pd19q9l.jpg,http://www.annonces.nc/photos.annonces.nc/20182/_thumbs/o_1c72ic48kg4k14r9je6nt21q4tm.jpg,http://www.annonces.nc/photos.annonces.nc/20182/_thumbs/o_1c72ic48kp3rhgq1f4q7nn16g7n.jpg
armes airsoft,[Offre],Arc chasse Bear Wild 60-70lbs,01/08,"Bonjour,

A vendre arc tout neuf Bear archery 60-70lbs en gaucher ! 
Ready to hunt ! ( viseur,stab,carquois..)

Repondre via le site si interessé, curieux s?abstenir !",50 000 F cfp
armes airsoft,[Offre],22.250 sabati,01/08,"Av fusil de marque Sabati .calibre 22.250.mallette /bipied/jumelle sightron3,5x10x50
.plus boîte de cartouche
.180mille. Négociable.",180 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cj5mmvbb7vc8q11n2fsjcjmb2h.JPG
armes airsoft,[Offre],Lunette Simmons,01/08,"A vendre une lunette simmons 3×9×40 jamais servis neuve
Acheté avec  le fusil une 22-250 mais enlevé de suite pour une autre lunette donc pas tiré avec",15 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1ci8jrf9s140gltj1j7s1gbtce2b.jpg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1ci8jtalj2s1bqd1mvfjc31osqt.jpg
armes airsoft,[Offre],22 lr ZASTAVA,01/08,"A vendre 22 LR ZASTAVA avec lunette Norica en 3 9 40 état neuf 1 mois acheté 80 000 francs
 revend 75000 avec house ou 70000 francs sans house.
Pas d'échange merci.
Même que sur la photo mais pas de silencieux.
Sur Pouembout",75 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1chu2q3l81lrlsrb11pq190hqicb.jpg
armes airsoft,[Offre],Calibre 12,01/08,"A vendre Calibre 12/70  nombres de coups 7+1
Marque HUGLUS 601G
Fenêtre de chargement travaillée pour facilité le rechargement rapide.
Très peu servi
Arme soumise à autorisation catégorie B
Licence de tir",100 000 F cfp,http://www.annonces.nc/photos.annonces.nc/201612/_thumbs/o_1b3qvac5o6i91o6ga881vli1o70f.JPG,http://www.annonces.nc/photos.annonces.nc/201612/_thumbs/o_1b3qvac5o5gcpr51mja1f781elag.JPG,http://www.annonces.nc/photos.annonces.nc/201612/_thumbs/o_1b3qvac5p95k332hje1u331n5h.JPG,http://www.annonces.nc/photos.annonces.nc/201612/_thumbs/o_1b3qvac5pqeu797o221a8h1n79i.JPG,http://www.annonces.nc/photos.annonces.nc/201612/_thumbs/o_1b3qvac5pihv8fu1iv1ue4mu5j.JPG
armes airsoft,[Offre],22.250 neuve moosberg,01/08,vend une 22.250 moosberg neuve avec jumelle bipied mallette tiré que 15 cartouches pour le réglage PRIX 80 000 fr,80 000 F cfp
armes airsoft,[Offre],Savage 270 Neuf,01/08,"SAVAGE AXIS II XP (Synthétique) calibre 270win. Acheté le 08/12/2017

Avec lunette 3x9x40 + Bipied + house de transport. 

Très peu tirer avec. 

100000cfp Ferme",100 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20183/_thumbs/o_1c8o79ikva3vs1bk711rrlfm.jpg,http://www.annonces.nc/photos.annonces.nc/20186/_thumbs/o_1cfjrgsp73d11onu1pag9u2i5ne.jpg,http://www.annonces.nc/photos.annonces.nc/20186/_thumbs/o_1cfjrgsp71gmrvod1t7u17c61lllf.jpg,http://www.annonces.nc/photos.annonces.nc/20186/_thumbs/o_1cfjrgsp7f10tn81uhs10gu13vng.jpg,http://www.annonces.nc/photos.annonces.nc/20186/_thumbs/o_1cfjrgsp89l9avg1ul71rr7cu8h.jpg
armes airsoft,[Offre],crosse arriere baikal mp155,01/08,"vends, sur commande (2mois 1/2) crosse tactical arrière réglable en longueur 
4 positions, de marque DLG TACTICAL
avec 4 emplacement pour les cartouches.
Trop terrible la prise en main et la vitesse d'épaulée et dla visée.
Idéal pour le TSV.
24900frs tout frais payer",24 900 F cfp,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfdhcpla0anp11e71s7k5ibh.jpg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfdhcpm1q1k12k0i9k1ptg1k85i.jpg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfdhcpm1jrj64s61b1rolcvnj.jpg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfdhcpmpln17qv17msbmq70k.jpg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfdhcpm1j0k1egj19s51sch143nl.jpg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfdhcpmht51p7g1kkk1n1fisum.jpg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfdhcpm1kagtlnu4om0k19h9n.jpg
armes airsoft,[Offre],Lunette meopta 6-18x50 70000f,01/08,"Vend lunette meopta meopro 6-18x50 4mois toute neuve reticule mildot 
Supporte jusqu?à la 300wm 
70000fr",70 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20186/_thumbs/o_1cgo2e7ii1f0p1kje10lr1284fklb.jpeg,http://www.annonces.nc/photos.annonces.nc/20186/_thumbs/o_1cgo2i2q7esgc1c1c801qennjmh.jpeg,http://www.annonces.nc/photos.annonces.nc/20186/_thumbs/o_1cgo2i2q81bnqta4jps1fna4oni.jpeg,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjfvsrtj1tl9mnc534158c128ub.JPG
armes airsoft,[Offre],Jumelle Simmons,01/08,"A vendre: Jumelle Simmons (3-9×40mm).
                Acheté il y 1 mois .
                 Revends pr cause de changement de 
                  lunette.",30 0000 frcs à débattre,http://www.annonces.nc/photos.annonces.nc/20185/_thumbs/o_1cekovp4t15lotsdh227p99nb.jpg
armes airsoft,[Offre],243 steyr pro hunter avec lunette,01/08,"vend carabine steyr prohunter calibre 243, crosse synthétique, canon de 61 cm 4 coups, équipé stecher
équipée lunette leupold V-X3i 4.5-14*50

très peu servie

règlement en espèces si possible",200 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20185/_thumbs/o_1cene3l2gu4g2d9mjgmg0v3im.jpeg
armes airsoft,[Offre],243 Sako rare lunette Léopold,01/08,"Rare vend 243 Sako comme neuve avec lunette Léopold 3×9×50+ bipieds+ valise. Etat irréprochable. 
260 000",260 000 F cfp,http://www.annonces.nc/photos.annonces.nc/20187/_thumbs/o_1cjnfai421hcu1abl1d15mhe19n5b.jpg
